approach / stat,group,f1,FNR,recall,accuracy,precision,FPR,MCC,TP,TN,FP,FN,n_samples
depth_repeats,other,0.595122,0.386935,0.613065,0.582915,0.578199,0.447236,0.166131,122.000000,110.000000,89.000000,77.000000,398.000000
current_default,manual,0.589928,0.385000,0.615000,0.572500,0.566820,0.470000,0.145527,123.000000,106.000000,94.000000,77.000000,400.000000
mult_boost,tuned,0.587678,0.380000,0.620000,0.563910,0.558559,0.492462,0.128356,124.000000,101.000000,98.000000,76.000000,399.000000
current,tuned,0.578313,0.400000,0.600000,0.561404,0.558140,0.477387,0.122984,120.000000,104.000000,95.000000,80.000000,399.000000
cpg_structural,tuned,0.578005,0.432161,0.567839,0.585427,0.588542,0.396985,0.170960,113.000000,120.000000,79.000000,86.000000,398.000000
mult_boost_default,manual,0.571429,0.400000,0.600000,0.550000,0.545455,0.500000,0.100504,120.000000,100.000000,100.000000,80.000000,400.000000
MEAN,,0.583412,0.397349,0.602651,0.569359,0.565952,0.464012,0.139077,120.333333,106.833333,92.500000,79.333333,399.000000
MEDIAN,,0.582995,0.393467,0.606533,0.568205,0.562689,0.473693,0.136941,121.000000,105.000000,94.500000,78.500000,399.000000
BEST,,0.595122,0.380000,0.620000,0.585427,0.588542,0.396985,0.170960,124.000000,120.000000,79.000000,76.000000,398.000000
WORST,,0.571429,0.432161,0.567839,0.550000,0.545455,0.500000,0.100504,113.000000,100.000000,100.000000,86.000000,400.000000
RANGE,,0.023693,0.052161,0.052161,0.035427,0.043087,0.103015,0.070456,11.000000,20.000000,21.000000,10.000000,2.000000
